title;Artikelnummer;Level 1;Level 2;Level 3;Level 4
Flyer A4, 4/4, 100g;K-FY-A4-4/4-100;Flyer / Klappkarten (ab 3 St…k !);Flyer A4;beidseitig 4/4;100g Papier
Flyer A4, 4/4, 120g;K-FY-A4-4/4-120;Flyer / Klappkarten (ab 3 St…k !);Flyer A4;beidseitig 4/4;120g Papier
Flyer A4, 4/4, 160g;K-FY-A4-4/4-160;Flyer / Klappkarten (ab 3 St…k !);Flyer A4;beidseitig 4/4;160g Papier
Flyer A4, 4/4, 200g;K-FY-A4-4/4-200;Flyer / Klappkarten (ab 3 St…k !);Flyer A4;beidseitig 4/4;200g Papier
Flyer A4, 4/4, 250g;K-FY-A4-4/4-250;Flyer / Klappkarten (ab 3 St…k !);Flyer A4;beidseitig 4/4;250g Papier
Flyer A4, 4/4, 300g;K-FY-A4-4/4-300;Flyer / Klappkarten (ab 3 St…k !);Flyer A4;beidseitig 4/4;300g Papier
Flyer A4, 4/4, 350g;K-FY-A4-4/4-350;Flyer / Klappkarten (ab 3 St…k !);Flyer A4;beidseitig 4/4;350g Papier
Flyer A4, 4/4, 400g;K-FY-A4-4/4-400;Flyer / Klappkarten (ab 3 St…k !);Flyer A4;beidseitig 4/4;400g Papier
Flyer A4, 4/4, I100g;K-FY-A4-4/4-I100;Flyer / Klappkarten (ab 3 St…k !);Flyer A4;beidseitig 4/4;Ivory 100g
Flyer A4, 4/4, I120g;K-FY-A4-4/4-I120;Flyer / Klappkarten (ab 3 St…k !);Flyer A4;beidseitig 4/4;Ivory 120g
Flyer A4, 4/4, I160g;K-FY-A4-4/4-I160;Flyer / Klappkarten (ab 3 St…k !);Flyer A4;beidseitig 4/4;Ivory 160g
Flyer A4, 4/4, I200g;K-FY-A4-4/4-I200;Flyer / Klappkarten (ab 3 St…k !);Flyer A4;beidseitig 4/4;Ivory 200g
Flyer A4, 4/4, I250g;K-FY-A4-4/4-I250;Flyer / Klappkarten (ab 3 St…k !);Flyer A4;beidseitig 4/4;Ivory 250g
Flyer A4, 4/4, I300g;K-FY-A4-4/4-I300;Flyer / Klappkarten (ab 3 St…k !);Flyer A4;beidseitig 4/4;Ivory 300g
Flyer A4, 4/4, I350g;K-FY-A4-4/4-I350;Flyer / Klappkarten (ab 3 St…k !);Flyer A4;beidseitig 4/4;Ivory 350g
Flyer A4, 4/4, O100g;K-FY-A4-4/4-O100;Flyer / Klappkarten (ab 3 St…k !);Flyer A4;beidseitig 4/4;Offset 100g (Weiss, Ivory, Recycling)
Flyer A4, 4/4, O160g;K-FY-A4-4/4-O160;Flyer / Klappkarten (ab 3 St…k !);Flyer A4;beidseitig 4/4;Offset 160g (Weiss, Ivory, Recycling)
